Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
IPCALAB.NS,405.32,93.75,rsiBuySignal,atrSellSignal,15.0,18.0,33.0,33.0,45.45,0.23
SUMIT.NS,207.0,93.5,"atrBuySignal,rsiBuySignal",atrSellSignal,10.0,17.0,27.0,27.0,37.04,0.45
MAWANASUG.NS,74.29,93.18,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,22.0,34.0,34.0,35.29,1.25
NAZARA.NS,-21.51,92.86,"atrBuySignal,rsiBuySignal",atrSellSignal,6.0,4.0,10.0,10.0,60.0,-4.32
CONTROLPR.NS,270.91,92.68,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,13.0,25.0,25.0,48.0,0.34
SEYAIND.NS,-95.28,92.62,"atrBuySignal,stochasticBuySignal",atrSellSignal,5.0,7.0,12.0,12.0,41.67,-0.97
TECHM.NS,144.6,92.37,"atrBuySignal,rsiBuySignal",atrSellSignal,20.0,21.0,41.0,41.0,48.78,0.64
HESTERBIO.NS,129.71,92.12,"atrBuySignal,rsiBuySignal",atrSellSignal,9.0,18.0,27.0,27.0,33.33,0.71
ASIANPAINT.NS,210.46,92.05,atrBuySignal,atrSellSignal,21.0,23.0,44.0,44.0,47.73,0.44
TNPL.NS,-23.52,91.86,"atrBuySignal,rsiBuySignal",atrSellSignal,13.0,13.0,26.0,26.0,50.0,-3.91
VETO.NS,-4.98,91.49,"atrBuySignal,rsiBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,-18.37
TAINWALCHM.NS,185.25,91.48,"atrBuySignal,rsiBuySignal",atrSellSignal,13.0,11.0,24.0,24.0,54.17,0.49
ADANIPORTS.NS,378.45,91.09,"atrBuySignal,rsiBuySignal",atrSellSignal,22.0,21.0,43.0,43.0,51.16,0.24
KRITINUT.NS,99.27,90.92,"atrBuySignal,rsiBuySignal",atrSellSignal,2.0,3.0,5.0,5.0,40.0,0.92
