Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
BIKAJI.NS,64.1,50.91,closeAboveATRBuySignal,atrSellSignal,5.0,2.0,7.0,7.0,71.43,0.79
TATACHEM.NS,272.89,50.23,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,11.0,21.0,32.0,32.0,34.38,0.18
RBLBANK.NS,-26.96,50.21,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,14.0,26.0,26.0,46.15,-1.86
CASTROLIND.NS,60.89,50.15,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,11.0,23.0,23.0,52.17,0.82
PPLPHARMA.NS,-24.84,49.07,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,2.0,2.0,4.0,4.0,50.0,-1.98
CROMPTON.NS,22.49,48.4,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,2.0,4.0,4.0,50.0,2.15
AWL.NS,25.03,48.28,closeAboveATRBuySignal,atrSellSignal,5.0,12.0,17.0,17.0,29.41,1.93
ICICIBANK.NS,98.84,47.86,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,13.0,12.0,25.0,25.0,52.0,0.48
GODREJCP.NS,69.07,47.8,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,12.0,6.0,18.0,18.0,66.67,0.69
GLAXO.NS,14.67,47.46,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,9.0,9.0,18.0,18.0,50.0,3.24
AIAENG.NS,136.33,47.31,closeAboveATRBuySignal,atrSellSignal,11.0,12.0,23.0,23.0,47.83,0.35
INDIACEM.NS,206.57,46.26,closeAboveATRBuySignal,atrSellSignal,11.0,14.0,25.0,25.0,44.0,0.22
KANSAINER.NS,-21.13,45.78,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,7.0,9.0,16.0,16.0,43.75,-2.17
CCL.NS,184.55,45.2,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,9.0,13.0,23.0,23.0,39.13,0.24
AXISBANK.NS,37.45,45.13,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,1.0,3.0,3.0,66.67,1.21
SHYAMMETL.NS,58.14,45.0,"stochasticBuySignal,closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,1.0,0.0,1.0,1.0,100.0,0.77
KEC.NS,128.85,44.84,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,1.0,3.0,3.0,66.67,0.35
PIDILITIND.NS,101.42,44.78,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,13.0,25.0,25.0,48.0,0.44
CONCORDBIO.NS,68.96,44.7,closeAboveATRBuySignal,atrSellSignal,1.0,1.0,2.0,2.0,50.0,0.65
BRITANNIA.NS,53.58,44.47,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,11.0,12.0,23.0,23.0,47.83,0.83
MARUTI.NS,73.84,44.18,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,14.0,10.0,24.0,24.0,58.33,0.6
HONAUT.NS,62.47,44.17,"stochasticBuySignal,closeAboveATRBuySignal,atrBuySignal",atrSellSignal,2.0,2.0,4.0,4.0,50.0,0.71
BPCL.NS,19.15,43.18,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,13.0,22.0,22.0,40.91,2.25
MRF.NS,93.61,42.64,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,16.0,28.0,28.0,42.86,0.46
GAIL.NS,149.94,42.25,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,11.0,16.0,27.0,27.0,40.74,0.28
PHOENIXLTD.NS,269.95,41.45,"stochasticBuySignal,closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,3.0,0.0,3.0,3.0,100.0,0.15
MCDOWELL-N.NS,88.16,40.77,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,7.0,12.0,19.0,19.0,36.84,0.46
CHAMBLFERT.NS,141.35,40.62,closeAboveATRBuySignal,atrSellSignal,14.0,15.0,29.0,29.0,48.28,0.29
ACC.NS,67.01,39.75,closeAboveATRBuySignal,atrSellSignal,11.0,17.0,28.0,28.0,39.29,0.59
CAMPUS.NS,-37.9,39.15,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,1.0,3.0,4.0,4.0,25.0,-1.03
NIACL.NS,62.25,39.11,closeAboveATRBuySignal,atrSellSignal,12.0,10.0,22.0,22.0,54.55,0.63
GUJGASLTD.NS,114.47,38.68,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,8.0,15.0,23.0,23.0,34.78,0.34
M&MFIN.NS,39.76,38.29,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,0.96
EPL.NS,0.42,38.21,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,1.0,3.0,4.0,4.0,25.0,90.98
AJANTPHARM.NS,219.7,38.04,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,9.0,12.0,21.0,21.0,42.86,0.17
VIJAYA.NS,8.51,37.97,"stochasticBuySignal,closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,2.0,1.0,3.0,3.0,66.67,4.46
JUSTDIAL.NS,88.62,37.5,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,8.0,13.0,21.0,21.0,38.1,0.42
TORNTPOWER.NS,425.7,37.34,closeAboveATRBuySignal,atrSellSignal,11.0,12.0,23.0,23.0,47.83,0.09
RAMCOCEM.NS,6.21,37.28,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,6.0
CHEMPLASTS.NS,-10.46,37.05,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,7.0,5.0,12.0,12.0,58.33,-3.54
GAEL.NS,391.86,36.29,closeAboveATRBuySignal,atrSellSignal,9.0,16.0,25.0,25.0,36.0,0.09
BHARATFORG.NS,145.92,35.34,closeAboveATRBuySignal,atrSellSignal,12.0,18.0,30.0,30.0,40.0,0.24
ENGINERSIN.NS,107.34,35.23,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,8.0,11.0,19.0,19.0,42.11,0.33
IDBI.NS,126.42,34.62,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,9.0,14.0,23.0,23.0,39.13,0.27
POWERGRID.NS,156.12,34.32,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,13.0,25.0,25.0,48.0,0.22
ACI.NS,49.23,33.89,closeAboveATRBuySignal,atrSellSignal,5.0,3.0,8.0,8.0,62.5,0.69
KNRCON.NS,101.66,33.57,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,6.0,12.0,18.0,18.0,33.33,0.33
ERIS.NS,76.29,32.87,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,7.0,8.0,15.0,15.0,46.67,0.43
STARHEALTH.NS,-37.59,32.39,"stochasticBuySignal,closeAboveATRBuySignal,atrBuySignal",atrSellSignal,1.0,0.0,1.0,1.0,100.0,-0.86
LICI.NS,11.2,32.23,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,4.0,6.0,10.0,10.0,40.0,2.88
SHREECEM.NS,19.93,32.19,closeAboveATRBuySignal,atrSellSignal,12.0,16.0,28.0,28.0,42.86,1.62
FINEORG.NS,126.26,31.61,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,9.0,13.0,22.0,22.0,40.91,0.25
UBL.NS,43.98,31.09,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,0.0,2.0,2.0,100.0,0.71
GMRINFRA.NS,328.32,30.6,closeAboveATRBuySignal,atrSellSignal,10.0,17.0,28.0,28.0,35.71,0.09
FIVESTAR.NS,41.19,29.93,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,3.0,2.0,5.0,5.0,60.0,0.73
SUMICHEM.NS,99.98,29.43,closeAboveATRBuySignal,atrSellSignal,9.0,14.0,23.0,23.0,39.13,0.29
